,species,avg_score,clim_match,batch
507,Leuciscus_leuciscus,1.07546611,Medium,1981_2010
189,Leymus_innovatus,2.968041332,High,2011_2040
190,Ligusticum_scoticum,0.565847794,Low,2011_2040
582,Ligustrum_sinense,1.489435447,Medium,1981_2010
191,Ligustrum_sinense,0.095131875,Low,2011_2040
583,Limnomysis_benedeni,0.872878932,Low,1981_2010
192,Limnomysis_benedeni,0.009398194,Low,2011_2040
584,Limosella_aquatica,0.807692524,Low,1981_2010
193,Limosella_aquatica,2.137875708,High,2011_2040
194,Linaria_genistifolia,0.167228044,Low,2011_2040
195,Linaria_purpurea,0.045947107,Low,2011_2040
196,Linaria_supina,0.094031073,Low,2011_2040
197,Linum_virginianum,0.033957324,Low,2011_2040
198,Liriope_muscari,0.001183541,Low,2011_2040
199,Liriope_spicata,0.000148402,Low,2011_2040
200,Lobelia_siphilitica,0.587580052,Low,2011_2040
201,Lonicera_alpigena,0.39242602,Low,2011_2040
202,Lonicera_japonica,0.273034729,Low,2011_2040
203,Lopezia_racemosa,0.001917506,Low,2011_2040
204,Lotus_cytisoides,0.000219858,Low,2011_2040
585,Ludwigia_alternifolia,0.688400741,Low,1981_2010
205,Ludwigia_alternifolia,0.10166115,Low,2011_2040
206,Ludwigia_grandiflora,0.025914004,Low,2011_2040
586,Ludwigia_peploides,0.548757812,Low,1981_2010
207,Ludwigia_peploides,0.042040891,Low,2011_2040
208,Lupinus_perennis,0.386229991,Low,2011_2040
209,Lupinus_plattensis,0.214089765,Low,2011_2040
210,Luzula_campestris,0.602279612,Low,2011_2040
587,Lysichiton_americanus,0.684678709,Low,1981_2010
211,Lysichiton_americanus,0.244409672,Low,2011_2040
212,Lysichiton_camtschatcensis,0.358509832,Low,2011_2040
213,Lythrum_hyssopifolium,0.000107981,Low,2011_2040
588,Lythrum_portula,2.722471288,High,1981_2010
214,Lythrum_portula,0.168257343,Low,2011_2040
589,Lythrum_virgatum,0.574309726,Low,1981_2010
215,Lythrum_virgatum,0.735273841,Low,2011_2040
216,Macaca_mulatta,0.000144131,Low,2011_2040
217,Maianthemum_stellatum,2.608207699,High,2011_2040
218,Malva_sylvestris,0.282376018,Low,2011_2040
219,Marsilea_minuta,0.014473082,Low,2011_2040
508,Marsilea_quadrifolia,1.149415478,Medium,1981_2010
220,Matthiola_longipetala,0.059738757,Low,2011_2040
221,Medicago_italica,6.97E-05,Low,2011_2040
222,Medicago_monspeliaca,0.013575403,Low,2011_2040
223,Medicago_polymorpha,0.034168353,Low,2011_2040
224,Medicago_rigidula,0.04352041,Low,2011_2040
509,Menidia_beryllina,0.687742925,Low,1981_2010
590,Mentha_aquatica,2.364060899,High,1981_2010
225,Mentha_aquatica,0.346769136,Low,2011_2040
226,Mentha_gentilis,0.000587356,Low,2011_2040
591,Micropterus_dolomieu,3.381193763,High,1981_2010
227,Micropterus_dolomieu,1.701404457,Medium,2011_2040
510,Micropterus_salmoides,3.024325857,High,1981_2010
592,Mikania_scandens,0.513266063,Low,1981_2010
228,Mikania_scandens,0.012762016,Low,2011_2040
229,Mimosa_pudica,0.001342483,Low,2011_2040
230,Mirabilis_jalapa,0.111323668,Low,2011_2040
231,Miscanthus_sinensis,0.307034927,Low,2011_2040
232,Misopates_orontium,0.060476972,Low,2011_2040
233,Momordica_charantia,0.007641042,Low,2011_2040
593,Montia_fontana,2.576607183,High,1981_2010
234,Montia_fontana,1.449959012,Medium,2011_2040
235,Mosla_dianthera,0.010855453,Low,2011_2040
594,Muhlenbergia_frondosa,0.737923509,Low,1981_2010
236,Muhlenbergia_frondosa,0.474556544,Low,2011_2040
237,Mycelis_muralis,0.439901832,Low,2011_2040
511,Myocastor_coypus,1.564578203,Medium,1981_2010
512,Myriophyllum_aquaticum,1.833564321,Medium,1981_2010
